station_id,station_name,input_address,input_postal_code,match_status,matched_address,longitude,latitude,tiger_line_id,tiger_side,geocoder
B000,BOULDER / AIRPORT ST1,3335 Airport Rd,80301,matched,"3335 AIRPORT RD, BOULDER, CO, 80301",-105.232842645854,40.035624163353,188218891,L,U.S. Census Geocoder Public_AR_Current/Current_Current
B001,BOULDER / ALPINE ST1,2667 Broadway,80304,matched,"2667 BROADWAY ST, BOULDER, CO, 80304",-105.282127266485,40.025151655722,188159462,L,U.S. Census Geocoder Public_AR_Current/Current_Current
B002,BOULDER / ANNEX ST1,7315 Red Deer Dr,80301,matched,"7315 RED DEER DR, BOULDER, CO, 80301",-105.182801861164,40.024159353427,220751145,R,U.S. Census Geocoder Public_AR_Current/Current_Current
B003,BOULDER / ATRIUM ST1,1770 13th St,80302,matched,"1770 13TH ST, BOULDER, CO, 80302",-105.277685225361,40.01557664501,188215641,R,U.S. Census Geocoder Public_AR_Current/Current_Current
B004,BOULDER / BASELINE ST1,600 Baseline Rd,80302,matched,"600 BASELINE RD, BOULDER, CO, 80302",-105.286572498093,40.000004270396,188202391,R,U.S. Census Geocoder Public_AR_Current/Current_Current
B005,BOULDER / BOULDER PARK S1,1739 Broadway,80302,matched,"1739 BROADWAY, BOULDER, CO, 80302",-105.279172329286,40.015218731868,638710386,L,U.S. Census Geocoder Public_AR_Current/Current_Current
B006,BOULDER / BOULDER PARK S2,1739 Broadway,80302,matched,"1739 BROADWAY, BOULDER, CO, 80302",-105.279172329286,40.015218731868,638710386,L,U.S. Census Geocoder Public_AR_Current/Current_Current
B007,BOULDER / CARPENTER PARK1,1505 30th St,80303,matched,"1505 30TH ST, BOULDER, CO, 80303",-105.253595844927,40.011573595987,220750769,L,U.S. Census Geocoder Public_AR_Current/Current_Current
B008,BOULDER / CARPENTER PARK2,1505 30th St,80303,matched,"1505 30TH ST, BOULDER, CO, 80303",-105.253595844927,40.011573595987,220750769,L,U.S. Census Geocoder Public_AR_Current/Current_Current
B009,BOULDER / EAST REC,5660 Sioux Dr,80303,matched,"5660 SIOUX DR, BOULDER, CO, 80303",-105.230039708702,39.993101267357,188163472,R,U.S. Census Geocoder Public_AR_Current/Current_Current
B010,BOULDER / FACILITIES ST1,1745 14th street,80302,matched,"1745 14TH ST, BOULDER, CO, 80302",-105.276274486712,40.014977638965,220750636,L,U.S. Census Geocoder Public_AR_Current/Current_Current
B011,BOULDER / FLT MNT E1,5064 Pearl St,80301,matched,"5064 PEARL ST, BOULDER, CO, 80301",-105.234670876399,40.025863527601,220750936,R,U.S. Census Geocoder Public_AR_Current/Current_Current
B012,BOULDER / FLT MNT E2,5064 Pearl St,80301,matched,"5064 PEARL ST, BOULDER, CO, 80301",-105.234670876399,40.025863527601,220750936,R,U.S. Census Geocoder Public_AR_Current/Current_Current
