station_id,station_index,station_name,address,city,state_province,postal_code,session_count,positive_energy_session_count,measured_energy_kwh
B000,0,BOULDER / AIRPORT ST1,3335 Airport Rd,Boulder,Colorado,80301,2012,1962,25623.846
B001,1,BOULDER / ALPINE ST1,2667 Broadway,Boulder,Colorado,80304,2753,2252,27250.447
B002,2,BOULDER / ANNEX ST1,7315 Red Deer Dr,Boulder,Colorado,80301,503,426,7676.155000000001
B003,3,BOULDER / ATRIUM ST1,1770 13th St,Boulder,Colorado,80302,6671,6196,45838.643
B004,4,BOULDER / BASELINE ST1,600 Baseline Rd,Boulder,Colorado,80302,13458,12586,112049.421
B005,5,BOULDER / BOULDER PARK S1,1739 Broadway,Boulder,Colorado,80302,972,774,7680.936
B006,6,BOULDER / BOULDER PARK S2,1739 Broadway,Boulder,Colorado,80302,1193,942,10228.045
B007,7,BOULDER / CARPENTER PARK1,1505 30th St,Boulder,Colorado,80303,11823,9589,90916.805
B008,8,BOULDER / CARPENTER PARK2,1505 30th St,Boulder,Colorado,80303,9164,7432,64619.78999999999
B009,9,BOULDER / EAST REC,5660 Sioux Dr,Boulder,Colorado,80303,9056,8708,62717.765
B010,10,BOULDER / FACILITIES ST1,1745 14th street,Boulder,Colorado,80302,2305,1837,17930.305
B011,11,BOULDER / FLT MNT E1,5064 Pearl St,Boulder,Colorado,80301,4,3,35.625
B012,12,BOULDER / FLT MNT E2,5064 Pearl St,Boulder,Colorado,80301,5,4,223.462
B013,13,BOULDER / FLT MNT E3,5064 Pearl St,Boulder,Colorado,80301,3,1,74.976
B014,14,BOULDER / FLT MNT E4,5064 Pearl St,Boulder,Colorado,80301,26,22,649.549
B015,15,BOULDER / FLT MNT E5,5064 Pearl St,Boulder,Colorado,80301,4,2,9.502
B016,16,BOULDER / FLT MNT E6,5064 Pearl St,Boulder,Colorado,80301,10,9,156.053
B017,17,BOULDER / FLT MNT E7,5064 Pearl St,Boulder,Colorado,80301,8,6,114.807
B018,18,BOULDER / FLT MNT E8,5064 Pearl St,Boulder,Colorado,80301,30,30,650.6860000000001
B019,19,BOULDER / JUNCTION ST1,2280 Junction Pl,Boulder,Colorado,80301,968,764,7576.9800000000005
B020,20,BOULDER / MSC E1,5050 Pearl St,Boulder,Colorado,80301,1,1,0.403
B021,21,BOULDER / MSC E2,5050 Pearl St,Boulder,Colorado,80301,5,4,21.163
B022,22,BOULDER / N BOULDER REC 1,3172 Broadway,Boulder,Colorado,80304,16278,14354,143720.43300000002
B023,23,BOULDER / OSMP FLEET 1,2520 55th St,Boulder,Colorado,80301,225,213,1490.02
B024,24,BOULDER / OSMP FLEET 2,2520 55th St,Boulder,Colorado,80301,169,153,1717.1599999999999
B025,25,BOULDER / REC CENTER ST1,1360 Gillaspie Dr,Boulder,Colorado,80305,4732,3680,32803.482
B026,26,BOULDER / REC CENTER ST2,1360 Gillaspie Dr,Boulder,Colorado,80305,7617,6971,78946.493
B027,27,BOULDER / RESERVOIR ST1,5565 51st St,Boulder,Colorado,80301,1432,1116,11152.266
B028,28,BOULDER / RESERVOIR ST2,5565 51st St,Boulder,Colorado,80301,620,542,5208.988
B029,29,BOULDER / VALMONT ST1,5333 Valmont Rd,Boulder,Colorado,80301,3331,3135,30746.458
B030,30,BOULDER / VALMONT ST2,5333 Valmont Rd,Boulder,Colorado,80301,5248,5021,41859.862
B031,31,BOULDERJUNCTION / JUNCTION ST1,2280 Junction Pl,Boulder,Colorado,80301,384,294,3322.8460000000005
B032,32,COMM VITALITY / 1000WALNUT1,900 Walnut St,Boulder,Colorado,80302,6738,6160,64107.759999999995
B033,33,COMM VITALITY / 1000WALNUT2,900 Walnut St,Boulder,Colorado,80302,3862,3202,31262.796
B034,34,COMM VITALITY / 1100WALNUT1,1100 Walnut,Boulder,Colorado,80302,8302,7744,67900.676
B035,35,COMM VITALITY / 1104 SPRUCE1,1100 Spruce St,Boulder,Colorado,80302,7802,7416,59542.66
B036,36,COMM VITALITY / 1400 WALNUT1,1400 Walnut St,Boulder,Colorado,80302,3196,3048,44656.992
B037,37,COMM VITALITY / 1500PEARL1,1500 Pearl St,Boulder,Colorado,80302,3432,3008,25294.602
B038,38,COMM VITALITY / 1500PEARL2,1500 Pearl St,Boulder,Colorado,80302,4098,3712,39200.32
B039,39,COMM VITALITY / 2200 BROADWAY1,2240 Broadway,Boulder,Colorado,80302,308,198,1850.272
B040,40,COMM VITALITY / 5050 PEARL 1,5050 Pearl St,Boulder,Colorado,80301,88,70,801.554
B041,41,COMM VITALITY / BOULDER JCTN,2052 Junction Pl,Boulder,Colorado,80301,3706,3262,33142.474
B042,42,MUNICIPAL SC / 1000WALNUT1,900 Walnut St,Boulder,Colorado,80302,719,685,6979.271
B043,43,MUNICIPAL SC / 1000WALNUT2,900 Walnut St,Boulder,Colorado,80302,376,321,3876.1870000000004
B044,44,MUNICIPAL SC / 1100WALNUT1,1100 Walnut,Boulder,Colorado,80302,1169,1109,11005.962
B045,45,MUNICIPAL SC / 1104 SPRUCE1,1100 Spruce St,Boulder,Colorado,80302,1392,1312,11756.936
B046,46,MUNICIPAL SC / 1400 WALNUT1,1400 Walnut St,Boulder,Colorado,80302,350,310,3401.4579999999996
B047,47,MUNICIPAL SC / 1500PEARL1,1500 Pearl St,Boulder,Colorado,80302,493,457,4003.241
B048,48,MUNICIPAL SC / 1500PEARL2,1500 Pearl St,Boulder,Colorado,80302,1037,930,10478.274
B049,49,MUNICIPAL SC / 2200 BROADWAY1,2240 Broadway,Boulder,Colorado,80302,58,50,444.847
