source_station_name,station_id,latitude,longitude
PALO ALTO CA / BRYANT #1,P000,37.446613,-122.162308
PALO ALTO CA / BRYANT #2,P001,37.44651,-122.16214
PALO ALTO CA / BRYANT #3,P002,37.446583,-122.162109
PALO ALTO CA / BRYANT #4,P003,37.446785,-122.162369
PALO ALTO CA / BRYANT #5,P004,37.44669,-122.162231
PALO ALTO CA / BRYANT #6,P005,37.446667,-122.16217
PALO ALTO CA / CAMBRIDGE #1,P006,37.426155,-122.146065
PALO ALTO CA / CAMBRIDGE #2,P007,37.426182,-122.146065
PALO ALTO CA / CAMBRIDGE #3,P008,37.426208,-122.146011
PALO ALTO CA / CAMBRIDGE #4,P009,37.426178,-122.146034
PALO ALTO CA / CAMBRIDGE #5,P010,37.426228,-122.145981
PALO ALTO CA / HAMILTON #1,P011,37.444489,-122.16037
PALO ALTO CA / HAMILTON #2,P012,37.444706,-122.160324
PALO ALTO CA / HIGH #1,P013,37.443558,-122.162849
PALO ALTO CA / HIGH #2,P014,37.443146,-122.163017
PALO ALTO CA / HIGH #3,P015,37.443127,-122.163033
PALO ALTO CA / HIGH #4,P016,37.443378,-122.163048
PALO ALTO CA / MPL #1,P017,37.422146,-122.112511
PALO ALTO CA / MPL #2,P018,37.422169,-122.11248
PALO ALTO CA / MPL #3,P019,37.422119,-122.112556
PALO ALTO CA / MPL #4,P020,37.422104,-122.11351
PALO ALTO CA / MPL #5,P021,37.422123,-122.113487
PALO ALTO CA / MPL #6,P022,37.422138,-122.113457
PALO ALTO CA / RINCONADA LIB 1,P023,37.445496,-122.138863
PALO ALTO CA / RINCONADA LIB 2,P024,37.445499,-122.138893
PALO ALTO CA / RINCONADA LIB 3,P025,37.445496,-122.138924
PALO ALTO CA / TED THOMPSON #1,P026,37.428318,-122.144188
PALO ALTO CA / TED THOMPSON #2,P027,37.42857,-122.143929
PALO ALTO CA / TED THOMPSON #3,P028,37.428623,-122.144043
PALO ALTO CA / TED THOMPSON #4,P029,37.4286,-122.14399
PALO ALTO CA / WEBSTER #1,P030,37.448284,-122.158272
PALO ALTO CA / WEBSTER #2,P031,37.448238,-122.158203
PALO ALTO CA / WEBSTER #3,P032,37.448273,-122.158234
