Feeder Name,Feeder Head Node,Substation Name,Medium Voltage Length (miles),Three Phase Medium Voltage Length (miles),Three Phase Overhead Medium Voltage Length (miles),Two Phase Medium Voltage Length (miles),Two Phase Overhead Medium Voltage Length (miles),Single Phase Medium Voltage Length (miles),Single Phase Overhead Medium Voltage Length (miles),Overhead Percentage of Medium Voltage Line Miles,Ratio of Medium Voltage Lines to Number of Customers,Maximum Node Distance From Substation (miles),Nominal Voltage of Source (kV),Low Voltage Length (miles),Three Phase Low Voltage Length (miles),Three Phase Overhead Low Voltage Length (miles),Two Phase Low Voltage Length (miles),Two Phase Overhead Low Voltage Length (miles),Single Phase Low Voltage Length (miles),Single Phase Overhead Low Voltage Length (miles),Maximum Line Length From Transformer to Load (miles),Overhead Percentage of Low Voltage Line Miles,Ratio of Low Voltage Lines to Number of Customers,Number of Voltage Regulators,Number of Capacitors,Average Regulator Distance From Substation (miles),Average Capacitor Distance From Substation (miles),Number of Fuses,Number of Reclosers,Average Recloser Distance From Substation (miles),Number of Breakers,Number of Switches,Number of Lines Connected to Adjacent Feeder,Number of Closed Loops,Number of Transformers,Total Transformer Capacity (MVA),Number of Single Phase Transformers,Number of Three Phase Transformers,Ratio of Single Phase Transformers to Three Phase Transformers,Total Peak Planning Load (MW),Total Phase A Peak Planning Load (MW),Total Phase B Peak Planning Load (MW),Total Phase C Peak Planning Load (MW),Total Reactive Peak Planning Load (MVar),Percentage of Low Voltage Peak Planning Load on Phase A,Percentage of Low Voltage Peak Planning Load on Phase B,Percentage of Low Voltage Peak Planning Load on Phase C,Number of Single Phase Low Voltage Loads,Number of Three Phase Low Voltage Loads,Number of Medium Voltage Loads,Total Medium Voltage Peak Planning Load (MW),Average Number of Loads per Transformer,Average Peak Planning Load Power Factor,Average Peak Planning Load Imbalance by Phase,Total Number of Customers,Number of Customers per Square Mile of Feeder Convex Hull,Total Peak Planning Load (MW) per Square Mile of Feeder Convex Hull,Total Reactive Peak Planning Load (MVar) per Square Mile of Feeder Convex Hull,Total Transformer Capacity (MVA) per Square Mile of Feeder Convex Hull,Average Node Degree,Average Shortest Path Length,Diameter (Maximum Eccentricity),Number of PVs,Total PV Capacity (MW),Number of PVs with Volt-Var Control,Total Capacity of PVs with Volt-Var Control (MW),Number of PVs with Volt-Watt and Volt-Var Control,Total Capacity of PVs with Volt-Watt Volt-Var Control (MW),Number of Batteries,Total Capacity of Batteries (MW),Average Year of Building Construction,Average Land Value (USD per Square Foot),Percentage of Rural Customers,Percentage of Urban Customers,Percentage of Residential Customers,Percentage of Commercial Customers,Percentage of Industrial Customers,County,Line Configuration
p1uhs0_1247--p1udt1470,p1udt1470-p1uhs0_1247x,p1uhs0_1247,7.6585,5.7259,2.7132,0.0,0.0,1.9326,0.8266,23.7362,0.0103,1.637,12.47,7.2546,0.4357,0.0,0.0,0.0,6.8189,1.5125,0.0612,10.1424,0.009763891489785492,0,3,,1.1591,26,4,0.9967,0,271,1,0,190,16.35,139,51,2.7255,10.9517,3.6138091109000006,3.668162398,3.6697284911000003,2.6095,32.9977,33.494,33.5083,685,55,3,4.6087,3.8901,0.9762,0.1818,743.0,47025975479.4935,693153558.9435,165162143.2637,1034824628653.7268,1.9987,57.1001,156,0,0.0,0,0.0,0,0.0,0,0.0,1952.0,501.3387985579128,0.0,100.0,92.8537,2.68585,4.4604300000000014,SanFrancisco,delta-wye
p1uhs0_1247--p1udt1472,p1udt1472-p1uhs0_1247x,p1uhs0_1247,11.9559,9.0495,5.2469,0.0,0.0,2.9064,2.5595,43.7066,0.0284,1.9553,12.47,5.905,0.95,0.0,0.0,0.0,4.955,2.1373,0.0831,11.9666,0.014026171230582614,0,3,,1.3431,35,8,0.7325,0,247,2,0,213,20.61,136,77,1.7662,12.8396,4.273789256000001,4.2826357404,4.2831878432,3.4601,33.286,33.3549,33.3592,328,88,5,5.3536,1.9673,0.9636,0.1064,421.0,15861038115.6355,483726687.4308,130359284.8653,776475048843.8177,1.9984,58.1564,149,0,0.0,0,0.0,0,0.0,0,0.0,1981.0,593.3839990090363,0.0,100.0,82.9404,2.72953,14.33,SanFrancisco,delta-wye
p1uhs0_1247--p1udt1469,p1udt1469-p1uhs0_1247x,p1uhs0_1247,7.0115,4.3487,0.979,0.0,0.0,2.6628,0.272,6.7881,0.0065,1.719,12.47,11.418,0.2039,0.0,0.0,0.0,11.2141,0.3739,0.0716,2.0286,0.010641187313170354,0,2,,1.4259,24,0,,0,385,2,0,209,13.7,186,23,8.087,6.6553,2.2913133052000005,2.1895005258,2.174486169,1.3928,34.4284,32.8986,32.673,1047,25,1,1.2242,5.1095,0.9794,0.4211,1073.0,73141108773.8779,453660568.3578,94938325.5414,933861314261.0708,1.9991,83.788,207,0,0.0,0,0.0,0,0.0,0,0.0,1951.0,585.7177033119882,0.0,100.0,98.1355,1.11151,0.752958,SanFrancisco,delta-wye
p1uhs0_1247--p1udt104,p1udt104-p1uhs0_1247x,p1uhs0_1247,2.0123,1.953,1.5083,0.0,0.0,0.0593,0.0211,70.4473,0.0915,1.4539,12.47,0.1588,0.1342,0.0,0.0,0.0,0.0246,0.0125,0.0412,0.577,0.007217343355255456,0,0,,,2,1,0.9298,0,20,0,0,13,4.725,4,9,0.4444,6.022,2.0059944420000004,2.028311974,1.9876935839999998,1.2228,33.3111,33.6817,33.0072,5,13,4,4.4297,1.5714,0.98,0.0073,22.0,1647450294.9481,450951356.5537,91569918.9764,353827392892.2719,1.9726,10.7641,26,0,0.0,0,0.0,0,0.0,0,0.0,1998.0,829.1861381165799,0.0,100.0,0.0,100.0,0.0,SanFrancisco,delta-wye
p1uhs1_1247--p1udt1324,p1udt1324-p1uhs1_1247x,p1uhs1_1247,24.1456,14.0333,5.4924,0.0,0.0,10.1123,3.2609,16.9696,0.0096,3.0147,12.47,27.4362,1.4561,0.0,0.0,0.0,25.98,2.929,0.097,5.6785,0.010943831046167809,0,2,,1.9454,63,7,1.29,0,763,2,0,475,32.425,361,114,3.1667,14.1768,4.833608313599999,4.6662511896000005,4.6769404967999995,3.1824,34.0952,32.9147,32.9901,2361,145,1,1.5656,5.2668,0.9766,0.3307,2507.0,78823918438.1912,445739785.8119,100059915.5481,1019491645535.8384,1.9996,68.4929,168,0,0.0,0,0.0,0,0.0,0,0.0,1963.0,411.886471003737,0.0,100.0,91.46799999999999,2.99507,5.53695,SanFrancisco,delta-wye
p1uhs1_1247--p1udt716,p1udt716-p1uhs1_1247x,p1uhs1_1247,14.041,6.0807,2.2991,0.0,0.0,7.9603,2.5453,13.3074,0.0063,3.2974,12.47,22.3631,0.2058,0.0,0.0,0.0,22.1573,3.9827,0.0965,10.9402,0.01010531089535235,1,1,2.3531,2.6124,55,2,0.8764,0,374,1,0,263,16.6,243,20,12.15,6.5827,2.1769581343,2.2114909785,2.1942508872,1.5178,33.0709,33.5955,33.3336,2191,22,0,0.0,8.4144,0.9788,0.5245,2213.0,94808419940.3017,282013958.3764,65023633.7264,711170253506.1051,1.9995,57.4549,158,0,0.0,0,0.0,0,0.0,0,0.0,1952.0,287.11820813969257,0.0,100.0,95.7246,1.50896,2.7664299999999997,SanFrancisco,delta-wye
p1uhs2_1247--p1udt813,p1udt813-p1uhs2_1247x,p1uhs2_1247,17.6738,10.6411,3.116,0.0,0.0,7.0327,3.0415,16.9467,0.0106,1.481,12.47,18.661,1.2332,0.0,0.0,0.0,17.4278,3.0161,0.0898,8.3009,0.011234806463852932,0,2,,1.0468,54,3,0.7409,0,544,2,0,365,22.875,266,99,2.6869,10.8632,3.4806018696000005,3.6378358264000004,3.744762304,2.5348,32.0403,33.4877,34.472,1539,120,2,2.2576,4.5383,0.9766,0.2941,1661.0,63997050798.2122,418550072.0876,97664334.3045,881356133057.8586,1.9994,58.7076,166,0,0.0,0,0.0,0,0.0,0,0.0,1960.0,444.8490474206258,0.0,100.0,90.5823,3.86215,5.55556,SanFrancisco,delta-wye
p1uhs0_1247--p1udt942,p1udt942-p1uhs0_1247x,p1uhs0_1247,1.4182,1.2299,1.2274,0.0,0.0,0.1883,0.1858,80.1897,0.0506,0.9009,12.47,0.3442,0.0581,0.0,0.0,0.0,0.2861,0.2678,0.0991,15.1936,0.0122913071290225,0,0,,,4,1,0.0713,0,3,0,0,20,1.35,13,7,1.8571,0.5046,0.16554664500000002,0.16489621560000003,0.1741571394,0.1147,32.8075,32.6786,34.5139,21,7,0,0.0,1.4,0.964,0.16399999999999998,28.0,4864567552.6105,87662041.7377,19926014.8582,234541649858.0064,1.9762,9.5442,25,0,0.0,0,0.0,0,0.0,0,0.0,1996.0,371.6680862043448,0.0,100.0,84.25200000000002,3.93701,11.811,SanFrancisco,delta-wye
p1uhs3_1247--p1udt1696,p1udt1696-p1uhs3_1247x,p1uhs3_1247,6.7474,5.9674,1.5192,0.0,0.0,0.78,0.1854,18.1934,0.0359,1.2783,12.47,2.6218,1.0216,0.0,0.0,0.0,1.6002,0.3543,0.069,3.7814,0.013945789682076704,0,3,,0.9672,11,3,0.6127,0,158,0,0,95,11.725,43,52,0.8269,8.8674,2.9516648358000004,2.9742944405999996,2.9414318562,1.8177,33.2867,33.5419,33.1713,123,61,4,4.3886,1.9583,0.9791,0.044,188.0,9882645270.626,466136655.7018,95551980.4889,616351147862.1785,1.9967,29.9343,76,0,0.0,0,0.0,0,0.0,0,0.0,1980.0,238.4379945714096,0.0,100.0,58.8448,38.9892,2.16606,SanFrancisco,delta-wye
p1uhs3_1247--p1udt1824,p1udt1824-p1uhs3_1247x,p1uhs3_1247,2.2709,2.2709,0.3851,0.0,0.0,0.0,0.0,12.7209,0.0568,0.9483,12.47,0.7563,0.5099,0.0,0.0,0.0,0.2464,0.0498,0.054,1.6437,0.018907408600114,0,0,,,0,0,,0,56,0,0,30,8.475,8,22,0.3636,5.3202,1.7657264982,1.7588155583999998,1.7956579434,1.1073,33.1891,33.0592,33.7517,11,27,2,2.1244,1.2903,0.9777,0.0076,40.0,3791208552.4823,504246706.8088,104950221.4105,803262312057.1962,1.9882,21.9965,61,0,0.0,0,0.0,0,0.0,0,0.0,1979.0,184.2926171951313,0.0,100.0,0.0,92.5,7.5,SanFrancisco,delta-wye
