panel,group,n_pairs,reduction,reduction_low,reduction_high,penetration_multiplier,unconstrained_feasible,feasible_fraction,unconstrained_feasible_ci95_low,unconstrained_feasible_ci95_high,feasible_fraction_ci95_low,feasible_fraction_ci95_high,backup,cost_reduction,action_fraction,ci95_low,ci95_high,crews,service_scale,relative_reduction_percent,bootstrap_ci95_low,bootstrap_ci95_high,holm_wilcoxon_p
a,all,4096.0,0.1026839702763642,0.06917984259716728,0.1369933666984284,,,,,,,,,,,,,,,,,,
a,nominal,1024.0,-0.0001780006864222,-0.0010093613226245203,0.000561272180336949,,,,,,,,,,,,,,,,,,
a,single_domain,1024.0,0.0131726925438099,-0.006571658162435831,0.03355699420673625,,,,,,,,,,,,,,,,,,
a,cascade,1024.0,0.0740533104372288,-0.0123680208172841,0.16425338385635244,,,,,,,,,,,,,,,,,,
a,ood,1024.0,0.197890465456723,0.1392625476949372,0.26117711438864294,,,,,,,,,,,,,,,,,,
b,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
b,,,,,,3.0,0.83125,0.9800347646077474,0.7664900434397597,0.8960099565602404,0.9667952006790984,0.9932743285363964,,,,,,,,,,,
b,,,,,,5.0,0.4458333333333333,0.8054669698079427,0.428971276893847,0.4626953897728196,0.7891680131029399,0.8217659265129456,,,,,,,,,,,
b,,,,,,10.0,0.2541666666666667,0.5732941309611003,0.2364915197446903,0.271841813588643,0.5603448535723402,0.5862434083498603,,,,,,,,,,,
c,,,,,,,,,,,,,0 s,0.0,0.8905498745831817,0.0,0.0,,,,,,
c,,,,,,,,,,,,,60 s,12.354021644898893,0.9461624469549861,11.472054439174837,13.251812979578492,,,,,,
c,,,,,,,,,,,,,300 s,21.55255979128417,0.9827280761868074,20.062279874367697,23.06746482019582,,,,,,
d,,128.0,,,,,,,,,,,,,,,,4.0,0.5,1.079819878861928,-2.251759218983563,-0.4670080763778713,0.0236606048596959
d,,128.0,,,,,,,,,,,,,,,,4.0,1.0,0.6433195927484008,-2.328351453410765,0.0635802564870344,0.1769735592894459
d,,128.0,,,,,,,,,,,,,,,,4.0,2.0,0.8089106131550275,-2.8473684404984523,-0.9366790556528074,0.0017548371459682
d,,128.0,,,,,,,,,,,,,,,,12.0,0.5,0.6136226678625979,-0.6512852507527137,-0.1166991493447878,0.0492449257131305
d,,128.0,,,,,,,,,,,,,,,,12.0,1.0,0.353669045552879,-0.6799319352275756,0.0001688635326157,0.1287422471286153
d,,128.0,,,,,,,,,,,,,,,,12.0,2.0,0.5533513306698506,-1.6294389376818288,-0.1983403899624731,0.0065235908359075
d,,128.0,,,,,,,,,,,,,,,,24.0,0.5,0.3060262674412586,-0.297755765767898,0.0144919902208403,0.0293289021162217
d,,128.0,,,,,,,,,,,,,,,,24.0,1.0,0.8254940178853098,-0.9364574506732856,-0.3652882378370766,6.493720595624212e-05
d,,128.0,,,,,,,,,,,,,,,,24.0,2.0,1.0137376764457788,-1.9524849304035368,-0.8231438459958011,6.909573518993098e-06
