forecast,condition,group,policy,mean_cost,q95,q99,es95,maximum_cost,positive_excess,worse_fraction,guard_acceptance,crew_completion_fraction,crew_mean_completion_h,crew_total_travel_h,communication_loss,raw_infeasible_hours,infeasible_hours,curtailed_energy_kwh
graph,primary,published,matched,517.8447315570389,1681.1135002136225,2938.1894812011706,2370.241352409124,4046.095489501953,0.0,0.0,0.0,0.8318868003988136,2.8532190356854805,1.7188151041666666,81.22504518773349,0,0,0.0
graph,primary,published,central,517.1922532527327,1667.9445640563963,2930.7965618896465,2365.792735010385,4001.8966674804688,0.8513237716642998,0.126953125,0.0,0.833625388307677,2.8345413002511872,1.7259765624999999,81.06238830185612,0,0,0.0
graph,primary,published,robust,517.0144821060553,1667.9445640563963,2930.7965618896465,2364.898423045873,4001.8966674804688,0.6566590677398358,0.1171875,0.0,0.8340957259850457,2.842156258394258,1.7195963541666666,81.0527454229159,0,0,0.0
graph,primary,published,protected_0.001,516.9096365544154,1667.9445640563963,2938.1894812011706,2366.97597810626,4046.095489501953,0.1073157361533961,0.0087890625,0.060546875,0.8324798894928792,2.8438556172596696,1.7189453125,80.99863377066504,0,0,0.0
graph,primary,independent,matched,489.0429338573175,1555.2721408843977,2801.6077383422844,2285.6457281708713,3822.907287597656,0.0,0.0,0.0,0.8254440560643919,3.0069437064340727,1.7437174479166666,74.22483112359623,0,0,0.0
graph,primary,independent,central,489.00506218979615,1555.2721408843977,2801.6077383422844,2285.4352325797076,3822.907287597656,0.08698859007280384,0.052734375,0.0,0.8262940076127141,3.006473654684216,1.7417643229166668,74.22567283437093,0,0,0.0
graph,primary,independent,robust,489.0868411387482,1555.2721408843977,2801.6077383422844,2283.6870268583293,3822.907287597656,0.31114712436683384,0.0595703125,0.0,0.8269339050055411,2.9969209606652973,1.7417154947916667,74.27425802057405,0,0,0.0
graph,primary,independent,protected_0.001,488.98236135722243,1555.2721408843977,2801.6077383422844,2285.6457281708713,3822.907287597656,0.0,0.0,0.0048828125,0.8256162697375821,3.00501523894164,1.7439290364583333,74.2169643994057,0,0,0.0
graph,primary,independent,observed,489.53181181155304,1555.2721408843977,2801.6077383422844,2285.324785172939,3822.907287597656,0.591108746999881,0.0673828125,0.0,0.8259693059671275,3.007395467468071,1.7423828125,74.33673052230006,0,0,0.0
graph,matrix_scale_075,published,matched,518.7987673744839,1669.557942962646,2943.4071640014636,2372.345752984285,4046.095489501953,0.0,0.0,0.0,0.8317889258877185,2.8479016057771096,1.722216796875,81.49017945201194,0,0,0.0
graph,matrix_scale_075,published,central,521.8278426914471,1681.1135002136225,2995.093544311522,2386.047204524278,4076.441192626953,3.968996264730488,0.2099609375,0.0,0.8331572466041837,2.8113489425652727,1.7386881510416665,82.13033251211891,0,0,0.0
graph,matrix_scale_075,published,robust,518.8044356889698,1662.5420867919916,2930.7965618896465,2373.8116254508486,4001.8966674804688,1.2012732535114323,0.142578125,0.0,0.8339167952152947,2.8215513862153045,1.7270182291666667,81.43411576597282,0,0,0.0
graph,matrix_scale_075,published,protected_0.001,519.1683114231657,1662.5420867919916,2943.4071640014636,2375.02120694518,4076.441192626953,1.0721277980239283,0.064453125,0.12109375,0.8320675914495872,2.8280124230384214,1.7270670572916667,81.5211379118482,0,0,0.0
graph,matrix_scale_075,independent,matched,489.0429338573175,1555.2721408843977,2801.6077383422844,2285.6457281708713,3822.907287597656,0.0,0.0,0.0,0.8254440560643919,3.0069437064340727,1.7437174479166666,74.22483112359623,0,0,0.0
graph,matrix_scale_075,independent,central,489.6742498513745,1559.242863845825,2801.6077383422844,2286.2962791621676,3822.907287597656,0.7758705558554373,0.076171875,0.0,0.8258234391564119,3.000821081591698,1.74150390625,74.40025755920942,0,0,0.0
graph,matrix_scale_075,independent,robust,489.0963446786867,1555.2721408843977,2801.6077383422844,2284.973523974418,3822.907287597656,0.2259467216400745,0.05859375,0.0,0.8265036820167244,3.002879324521863,1.7451822916666666,74.26381419790414,0,0,0.0
graph,matrix_scale_075,independent,protected_0.001,489.06125590534054,1555.2721408843977,2801.6077383422844,2285.6457281708713,3822.907287597656,0.060963794589042664,0.0029296875,0.0068359375,0.8256096935591308,3.003504108068636,1.7435221354166668,74.23739566929726,0,0,0.0
graph,matrix_scale_075,independent,observed,494.937831960862,1566.298559570312,2801.6077383422844,2302.399126917123,3822.907287597656,6.010546075183161,0.1376953125,0.0,0.8258876791521021,2.9861149362326342,1.7447428385416666,75.66562079573487,0,0,0.0
graph,matrix_scale_125,published,matched,518.6661434673142,1680.9660659790031,2943.4071640014636,2377.6590044200416,4046.095489501953,0.0,0.0,0.0,0.8326368957534012,2.8582410950137236,1.7173990885416668,81.34929647242825,0,0,0.0
graph,matrix_scale_125,published,central,517.3838645527762,1670.0671386718745,2930.7965618896465,2368.604902297258,3981.8317260742183,0.48554371381530836,0.1064453125,0.0,0.8346545871090925,2.850708160047404,1.7201822916666667,81.05146955633245,0,0,0.0
