forecast,condition,group,policy,comparator,metric,n,proposed,reference,difference,ci_low,ci_high,scope
graph,primary,published,protected_0.001,central,q95,1024,1667.9445640563963,1667.9445640563963,0.0,0.0,1.1030075073242642,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,primary,published,protected_0.001,central,q99,1024,2938.1894812011706,2930.7965618896465,7.3929193115241105,-5.09109497070358,32.14312744140625,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,primary,published,protected_0.001,central,es95,1024,2366.97597810626,2365.792735010385,1.1832430958747864,-1.407949537038803,4.183039501309394,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,primary,published,protected_0.001,central,maximum,1024,4046.095489501953,4001.8966674804688,44.198822021484375,0.0,44.198822021484375,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,primary,independent,protected_0.001,central,q95,1024,1555.2721408843977,1555.2721408843977,0.0,-4.80667114257767,10.184630584715705,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,primary,independent,protected_0.001,central,q99,1024,2801.6077383422844,2801.6077383422844,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,primary,independent,protected_0.001,central,es95,1024,2285.6457281708713,2285.4352325797076,0.21049559116363525,-0.22798361182211693,0.7126706838607788,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,primary,independent,protected_0.001,central,maximum,1024,3822.907287597656,3822.907287597656,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,matrix_scale_075,published,protected_0.001,central,q95,1024,1662.5420867919916,1681.1135002136225,-18.57141342163095,-46.340912914276785,8.585536355972154,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,matrix_scale_075,published,protected_0.001,central,q99,1024,2943.4071640014636,2995.093544311522,-51.68638031005821,-58.84780883789108,12.525054931640625,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,matrix_scale_075,published,protected_0.001,central,es95,1024,2375.02120694518,2386.047204524278,-11.025997579098203,-18.050197212398494,-4.966104383766655,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,matrix_scale_075,published,protected_0.001,central,maximum,1024,4076.441192626953,4076.441192626953,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,matrix_scale_075,independent,protected_0.001,central,q95,1024,1555.2721408843977,1559.242863845825,-3.9707229614273274,-24.608640079498315,11.981918334960938,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,matrix_scale_075,independent,protected_0.001,central,q99,1024,2801.6077383422844,2801.6077383422844,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,matrix_scale_075,independent,protected_0.001,central,es95,1024,2285.6457281708713,2286.2962791621676,-0.6505509912963134,-4.571211382746702,1.4375162310898302,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,matrix_scale_075,independent,protected_0.001,central,maximum,1024,3822.907287597656,3822.907287597656,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,matrix_scale_125,published,protected_0.001,central,q95,1024,1670.0671386718745,1670.0671386718745,0.0,-9.03036388397241,8.968170166015625,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,matrix_scale_125,published,protected_0.001,central,q99,1024,2943.4071640014636,2930.7965618896465,12.610602111817116,-4.654615173340517,54.828704833984375,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,matrix_scale_125,published,protected_0.001,central,es95,1024,2372.715201348066,2368.604902297258,4.110299050807953,-0.08381278812885284,10.728400737047195,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,matrix_scale_125,published,protected_0.001,central,maximum,1024,4046.095489501953,3981.8317260742183,64.26376342773483,0.0,112.6740112304683,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,matrix_scale_125,independent,protected_0.001,central,q95,1024,1555.2721408843977,1555.2721408843977,0.0,0.0,10.184630584715705,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,matrix_scale_125,independent,protected_0.001,central,q99,1024,2801.6077383422844,2801.6077383422844,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,matrix_scale_125,independent,protected_0.001,central,es95,1024,2285.6457281708713,2283.4757346510883,2.16999351978302,0.0010386109352111816,6.086086310446259,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,matrix_scale_125,independent,protected_0.001,central,maximum,1024,3822.907287597656,3822.907287597656,0.0,0.0,94.67138671875,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,matrix_noise_015,published,protected_0.001,central,q95,1024,1667.9445640563963,1667.9445640563963,0.0,0.0,7.647626495360555,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,matrix_noise_015,published,protected_0.001,central,q99,1024,2943.4071640014636,2930.7965618896465,12.610602111817116,0.0,54.828704833984375,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,matrix_noise_015,published,protected_0.001,central,es95,1024,2367.96130695939,2365.4901889860625,2.4711179733276367,-3.5646001547574997,10.042416080832481,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,matrix_noise_015,published,protected_0.001,central,maximum,1024,4046.095489501953,3979.4928283691406,66.6026611328125,0.0,129.55047607421875,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,matrix_noise_015,independent,protected_0.001,central,q95,1024,1555.2721408843977,1555.2721408843977,0.0,0.0,10.184630584715705,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,matrix_noise_015,independent,protected_0.001,central,q99,1024,2801.6077383422844,2801.6077383422844,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,matrix_noise_015,independent,protected_0.001,central,es95,1024,2285.6457281708713,2285.324785172939,0.3209429979324341,-0.012088418006896973,0.7723373174667358,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,matrix_noise_015,independent,protected_0.001,central,maximum,1024,3822.907287597656,3822.907287597656,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,expanded_unsupported,published,protected_0.001,central,q95,1024,1971.7823684692376,1972.7735855102533,-0.991217041015716,-6.86126327514603,31.07035827636423,"Paired marginal bootstrap interval, exploratory tail endpoint"
