scheme,policy,comparator,n_pairs,policy_mean,comparator_mean,mean_difference,ci95_low,ci95_high,relative_reduction_percent,mobility_weight,energy_weight,communication_weight,power_service_weight,cascade_weight
reference,robust_pc_rollout,forecast_matched,4096,986.8510731150367,991.4410420812219,-4.589968966185223,-5.399871264052665,-3.796023494198185,0.462959346180587,1.8,2.6,1.7,1.2,12.0
reference,robust_pc_rollout,pc_rollout,4096,986.8510731150367,985.1680479746469,1.6830251403897645,1.3340993340008214,2.0508353505930335,-0.17083635059519073,1.8,2.6,1.7,1.2,12.0
mobility_x2,robust_pc_rollout,forecast_matched,4096,996.380768872258,1001.0590531356188,-4.678284263360784,-5.517678280436143,-3.8464584201688754,0.46733349533246693,3.6,2.6,1.7,1.2,12.0
mobility_x2,robust_pc_rollout,pc_rollout,4096,996.380768872258,994.6769201165089,1.7038487557492163,1.3420321370737887,2.084725552347129,-0.17129670160132401,3.6,2.6,1.7,1.2,12.0
energy_x2,robust_pc_rollout,forecast_matched,4096,1681.8905094482925,1687.0218986832629,-5.1313892349703085,-6.034162728380746,-4.2452719598904105,0.30416850184193867,1.8,5.2,1.7,1.2,12.0
energy_x2,robust_pc_rollout,pc_rollout,4096,1681.8905094482925,1680.0971618473254,1.793347600967062,1.3961056254246316,2.20717457215287,-0.10674070772164235,1.8,5.2,1.7,1.2,12.0
communication_x2,robust_pc_rollout,forecast_matched,4096,1117.8453988835895,1124.4501668741902,-6.604767990600735,-7.695823997094902,-5.530391220703518,0.5873775632904249,1.8,2.6,3.4,1.2,12.0
communication_x2,robust_pc_rollout,pc_rollout,4096,1117.8453988835895,1115.4788926183724,2.3665062652172137,1.889448311010861,2.870614728937118,-0.21215159523657995,1.8,2.6,3.4,1.2,12.0
power_service_x2,robust_pc_rollout,forecast_matched,4096,1015.051280312613,1019.7552953057708,-4.7040149931576405,-5.662371130185041,-3.7560639510887284,0.4612886066698143,1.8,2.6,1.7,2.4,12.0
power_service_x2,robust_pc_rollout,pc_rollout,4096,1015.051280312613,1013.2177277968962,1.8335525157169599,1.425180404800885,2.2699068722642775,-0.1809633275666988,1.8,2.6,1.7,2.4,12.0
cascade_half,robust_pc_rollout,forecast_matched,4096,925.3073690858216,928.9816438775885,-3.6742747917668974,-4.35575422760176,-3.008144280662792,0.3955164040088456,1.8,2.6,1.7,1.2,6.0
cascade_half,robust_pc_rollout,pc_rollout,4096,925.3073690858216,923.9832792275809,1.3240898582405805,1.0282094037771117,1.6348291652768665,-0.14330236141799832,1.8,2.6,1.7,1.2,6.0
