policy,comparator,group,metric,direction,n_pairs,policy_mean,comparator_mean,mean_difference_pc_minus_comparator,mean_difference_policy_minus_comparator,mean_difference_bootstrap_ci95_low,mean_difference_bootstrap_ci95_high,relative_reduction_percent,paired_cohens_dz,paired_t_p,wilcoxon_p,primary_family,holm_p_primary_paired_t,holm_p_primary_wilcoxon
pc_rollout,forecast_matched,all,cost,lower,4096,985.1680461198034,991.4410401720068,-6.272994052203277,-6.272994052203277,-7.0372195228496635,-5.5195358717108345,0.6327147856533117,-0.2521413616905583,7.671785221213907e-57,1.9513572631268582e-101,True,3.835892610606954e-56,9.756786315634291e-101
pc_rollout,forecast_matched,all,mobility_delay,lower,4096,5.282706745478823,5.343339474664942,-0.060632729186118645,-0.060632729186118645,-0.08637074657894775,-0.03463466103060086,1.1347347379593669,-0.0714646340208503,4.9326322439514545e-06,2.7347450305445637e-25,False,,
pc_rollout,forecast_matched,all,unserved_energy,lower,4096,267.28042841256865,267.53109869309264,-0.2506702805239911,-0.2506702805239911,-0.2945782796723961,-0.20780400906232904,0.0936976230982238,-0.17591526494986437,5.577946035014784e-29,6.448595763229284e-87,False,,
pc_rollout,forecast_matched,all,comm_loss,lower,4096,76.65343802572079,78.24066164292253,-1.5872236172017438,-1.5872236172017438,-1.7619377356918449,-1.4160549978733346,2.0286428870522215,-0.28148298876698047,6.957247117110145e-70,1.5199360663419272e-99,False,,
pc_rollout,forecast_matched,all,power_service_loss,lower,4096,23.374733185207685,23.595211020457363,-0.220477835249678,-0.220477835249678,-0.3693140791739821,-0.0722443599618684,0.9344177301848278,-0.04561620205106108,0.0035257656409794194,8.617976353758846e-14,False,,
pc_rollout,forecast_matched,all,min_voltage_pu,higher,4096,0.9889770502681201,0.9889773780571525,-3.2778903237494473e-07,-3.2778903237494473e-07,-8.648378071563255e-07,2.3595500426319777e-07,3.314423966085926e-05,-0.01833291324685812,0.24074117748983034,3.326285290300489e-56,False,,
pc_rollout,forecast_matched,all,voltage_violation_pu_hours,lower,4096,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,1.0,1.0,False,,
pc_rollout,forecast_matched,all,thermal_overload_pu_hours,lower,4096,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,1.0,1.0,False,,
pc_rollout,forecast_matched,all,losses_mwh,lower,4096,0.8427451031921522,0.8427349386006019,1.0164591550369974e-05,1.0164591550369974e-05,8.27898848779158e-06,1.2087777563945953e-05,-0.0012061433654630153,0.16251570013027006,5.0156381713464775e-25,8.092396124442425e-95,False,,
pc_rollout,forecast_matched,all,mean_smartds_projection_fraction,higher,4096,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,1.0,False,,
pc_rollout,forecast_matched,all,smartds_curtailed_energy_kwh,lower,4096,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,1.0,1.0,False,,
pc_rollout,forecast_matched,all,crew_completion_fraction,higher,4096,0.8216761025784616,0.8172483806856254,0.004427721892836262,0.004427721892836262,0.0038146595194324213,0.005069771026507835,-0.5417841133097936,0.21609993891801477,1.491946467924287e-42,1.0164675573860757e-38,False,,
