condition,group,n_pairs,matched_mean_cost,central_mean_cost,robust_mean_cost,central_reduction_vs_matched_percent,robust_reduction_vs_matched_percent,robust_minus_central_mean,robust_minus_central_ci95_low,robust_minus_central_ci95_high,robust_win_fraction,tie_fraction,robust_loss_fraction,central_q95_cost,robust_q95_cost,central_q99_cost,robust_q99_cost,central_cvar95_cost,robust_cvar95_cost,central_cvar99_cost,robust_cvar99_cost,central_max_cost,robust_max_cost,robust_minus_central_q95,robust_minus_central_q99,robust_minus_central_max,robust_minus_central_min
primary,all,4096,991.4410401720068,985.1680461198034,986.8510712826331,0.6327147856533172,0.4629593393246347,1.683025162829729,1.3297760746458276,2.0507930292186596,0.038330078125,0.885009765625,0.07666015625,2381.0786743164062,2381.0786743164062,2956.568190765383,2949.0950950622573,2779.226721451922,2783.710940291242,3301.8589455209126,3305.0492185267008,4084.407775878906,4084.407775878906,4.2195215225220295,58.83992004394551,196.6669006347654,-71.00462341308594
primary,nominal,1024,661.8337281143722,661.8202871213829,661.8178522484936,0.0020308715646187385,0.0023987695404708224,-0.0024348728892670517,-0.00669412974369579,0.00026417332322820346,0.0400390625,0.923828125,0.0361328125,1768.2201835632322,1768.2201835632322,2084.983306579589,2084.983306579589,1976.6658826974722,1976.6631808647742,2301.4845081676135,2301.4845081676135,2795.307098388672,2795.307098388672,0.0,0.04271450472995634,0.18466949462890625,-1.7591257113842538
primary,single_domain,1024,689.3545283754347,689.056325025881,689.0602327069686,0.04325834346173366,0.04269148259019709,0.003907681087582573,-0.07732701178871632,0.0843073760443625,0.056640625,0.8857421875,0.0576171875,1751.2340667724604,1751.2340667724604,2072.5493331909174,2072.5493331909174,1950.6419171553391,1950.8388206775371,2294.3412489457564,2294.3412489457564,2689.9362182617188,2689.9362182617188,0.11370337669504794,3.024375381469666,16.795387268066406,-16.772436141967773
primary,cascade,1024,991.75216770521,985.3039429132659,986.4393398096036,0.6501850968336643,0.535701162912472,1.135396896337624,0.6426232419005806,1.6592033250446518,0.0341796875,0.8828125,0.0830078125,2113.9701766967764,2114.784794616699,2667.022593994139,2655.6520758056627,2390.768439366267,2392.7570885878345,2742.2297696200285,2737.1473388671875,2898.284210205078,2876.353759765625,9.822431182861244,41.37146446466441,97.54696655273438,-48.92982482910156
primary,ood,1024,1622.82373649301,1604.4916294186842,1610.0868603654671,1.1296425275330488,0.7848588753740964,5.595230946782977,4.326553582167253,6.939036000403576,0.0224609375,0.84765625,0.1298828125,2906.184712219237,2906.184712219237,3469.867922668456,3469.867922668456,3222.0958985548755,3224.6553514920747,3709.8098976828837,3710.567274613814,4084.407775878906,4084.407775878906,45.08832380771631,106.67715423583988,196.6669006347654,-71.00462341308594
matrix_scale_075,all,1024,1010.9764077262482,1005.631759571741,1005.1619240106398,0.5286620057264938,0.5751354503598696,-0.46983556110118296,-1.034439697861606,0.028172683971092086,0.0517578125,0.904296875,0.0439453125,2423.479606628418,2423.162414550781,2975.086616821289,2975.086616821289,2807.9916405310996,2805.2895628122183,3323.0835044167256,3319.1340831409802,3882.9285278320312,3882.9285278320312,0.0,17.414316406249824,41.58008575439453,-154.6439208984375
matrix_scale_075,ood,256,1664.8330234708264,1649.8794941604137,1648.2129354327917,0.8981999455559659,0.9983036018462291,-1.666558727622034,-3.6210805755108586,-0.03752870112657966,0.06640625,0.88671875,0.046875,2942.652801513672,2937.875751495362,3543.1170104980465,3543.1170104980465,3268.9550335223857,3265.6132155198316,3755.4581705729165,3755.4581705729165,3882.9285278320312,3882.9285278320312,0.0,33.1574451446531,41.58008575439453,-154.6439208984375
matrix_scale_125,all,1024,1010.9764077262482,1006.7243922813116,1013.1077622429037,0.42058503170214623,-0.2108213901300685,6.383369961591984,4.9100767554059725,7.97579878247649,0.0341796875,0.8134765625,0.15234375,2411.0231170654292,2468.1429031372063,2968.7450238037104,3022.07563873291,2811.4701141944297,2846.473226107084,3314.152385364879,3368.0611100630326,3882.9285278320312,4083.790100097656,49.63503308296189,120.91197021484375,301.76837158203216,-63.149795532226676
matrix_scale_125,ood,256,1664.8330234708264,1654.4491906967014,1676.3414802597836,0.6237161701944699,-0.6912679305798733,21.892289563082155,16.490790841216214,27.62941780323162,0.02734375,0.62890625,0.34375,2929.4318428039555,2932.6146736145024,3483.0058898925768,3618.8016571044877,3256.6788729154146,3309.038306603065,3754.917439778646,3936.9580078125,3882.9285278320312,4083.790100097656,111.16255950927734,185.474794769287,301.76837158203216,-63.149795532226676
matrix_noise_015,all,1024,1010.9764077262482,1004.2248016555269,1006.4971534306712,0.6678302301738301,0.4430621982219276,2.272351775144342,1.5472872591489257,3.068592554108817,0.0283203125,0.880859375,0.0908203125,2419.994731140135,2422.095239257812,2968.7450238037104,2968.7450238037104,2799.12966302725,2803.7925124535195,3313.7862854003906,3321.56342939897,3865.2254943847656,3882.9285278320312,10.514806795120135,63.117449150085534,162.7750129699707,-16.1241455078125
matrix_noise_015,ood,256,1664.8330234708264,1645.8858276940882,1654.3532410878688,1.138083850429475,0.6294794874449028,8.467413393780586,5.685912684304631,11.520519497664642,0.015625,0.796875,0.1875,2923.711437225342,2923.711437225342,3543.1170104980465,3543.1170104980465,3255.879142174354,3262.4598024808442,3749.557159423828,3755.4581705729165,3865.2254943847656,3882.9285278320312,60.36620140075695,118.69872207641598,162.7750129699707,-6.9871826171875
