mapping_index,station_index,station_id,smartds_load_index,smartds_load_name
0,0,B000,4,load_p1ulv157
0,1,B001,11,load_p1ulv579
0,2,B002,3,load_p1ulv156
0,3,B003,9,load_p1umv5
0,4,B004,15,load_p1ulv648
0,5,B005,14,load_p1ulv647
0,6,B006,14,load_p1ulv647
0,7,B007,7,load_p1ulv493
0,8,B008,7,load_p1ulv493
0,9,B009,20,load_p1umv10
0,10,B010,13,load_p1ulv646
0,11,B011,21,load_p1ulv1893
0,12,B012,21,load_p1ulv1893
0,13,B013,21,load_p1ulv1893
0,14,B014,21,load_p1ulv1893
0,15,B015,21,load_p1ulv1893
0,16,B016,21,load_p1ulv1893
0,17,B017,21,load_p1ulv1893
0,18,B018,21,load_p1ulv1893
0,19,B019,4,load_p1ulv157
0,20,B020,15,load_p1ulv648
0,21,B021,15,load_p1ulv648
0,22,B022,24,load_p1ulv1912
0,23,B023,0,load_p1ulv2
0,24,B024,0,load_p1ulv2
0,25,B025,19,load_p1ulv1845
0,26,B026,19,load_p1ulv1845
0,27,B027,4,load_p1ulv157
0,28,B028,4,load_p1ulv157
0,29,B029,11,load_p1ulv579
0,30,B030,11,load_p1ulv579
0,31,B031,4,load_p1ulv157
0,32,B032,10,load_p1ulv530
0,33,B033,10,load_p1ulv530
0,34,B034,18,load_p1ulv1841
0,35,B035,21,load_p1ulv1893
0,36,B036,8,load_p1umv3
0,37,B037,12,load_p1umv9
0,38,B038,12,load_p1umv9
0,39,B039,24,load_p1ulv1912
0,40,B040,15,load_p1ulv648
0,41,B041,4,load_p1ulv157
0,42,B042,10,load_p1ulv530
0,43,B043,10,load_p1ulv530
0,44,B044,18,load_p1ulv1841
0,45,B045,21,load_p1ulv1893
0,46,B046,8,load_p1umv3
0,47,B047,12,load_p1umv9
0,48,B048,12,load_p1umv9
0,49,B049,24,load_p1ulv1912
1,0,B000,12,load_p1umv9
1,1,B001,18,load_p1ulv1841
1,2,B002,13,load_p1ulv646
1,3,B003,24,load_p1ulv1912
1,4,B004,4,load_p1ulv157
1,5,B005,10,load_p1ulv530
1,6,B006,10,load_p1ulv530
1,7,B007,12,load_p1umv9
1,8,B008,12,load_p1umv9
1,9,B009,20,load_p1umv10
1,10,B010,0,load_p1ulv2
1,11,B011,14,load_p1ulv647
1,12,B012,14,load_p1ulv647
1,13,B013,14,load_p1ulv647
1,14,B014,14,load_p1ulv647
1,15,B015,14,load_p1ulv647
1,16,B016,14,load_p1ulv647
1,17,B017,14,load_p1ulv647
1,18,B018,14,load_p1ulv647
1,19,B019,14,load_p1ulv647
1,20,B020,14,load_p1ulv647
1,21,B021,14,load_p1ulv647
1,22,B022,4,load_p1ulv157
1,23,B023,8,load_p1umv3
1,24,B024,8,load_p1umv3
1,25,B025,19,load_p1ulv1845
1,26,B026,19,load_p1ulv1845
1,27,B027,15,load_p1ulv648
1,28,B028,15,load_p1ulv648
1,29,B029,0,load_p1ulv2
1,30,B030,0,load_p1ulv2
1,31,B031,14,load_p1ulv647
1,32,B032,11,load_p1ulv579
1,33,B033,11,load_p1ulv579
1,34,B034,9,load_p1umv5
1,35,B035,15,load_p1ulv648
1,36,B036,3,load_p1ulv156
1,37,B037,7,load_p1ulv493
1,38,B038,7,load_p1ulv493
1,39,B039,21,load_p1ulv1893
1,40,B040,14,load_p1ulv647
1,41,B041,12,load_p1umv9
1,42,B042,11,load_p1ulv579
1,43,B043,11,load_p1ulv579
1,44,B044,9,load_p1umv5
1,45,B045,15,load_p1ulv648
1,46,B046,3,load_p1ulv156
1,47,B047,7,load_p1ulv493
1,48,B048,7,load_p1ulv493
1,49,B049,21,load_p1ulv1893
2,0,B000,11,load_p1ulv579
2,1,B001,0,load_p1ulv2
2,2,B002,21,load_p1ulv1893
2,3,B003,19,load_p1ulv1845
2,4,B004,15,load_p1ulv648
2,5,B005,14,load_p1ulv647
2,6,B006,14,load_p1ulv647
2,7,B007,12,load_p1umv9
2,8,B008,12,load_p1umv9
2,9,B009,8,load_p1umv3
2,10,B010,3,load_p1ulv156
2,11,B011,3,load_p1ulv156
2,12,B012,3,load_p1ulv156
2,13,B013,3,load_p1ulv156
2,14,B014,3,load_p1ulv156
2,15,B015,3,load_p1ulv156
2,16,B016,3,load_p1ulv156
2,17,B017,3,load_p1ulv156
2,18,B018,3,load_p1ulv156
2,19,B019,4,load_p1ulv157
2,20,B020,12,load_p1umv9
2,21,B021,12,load_p1umv9
2,22,B022,18,load_p1ulv1841
2,23,B023,11,load_p1ulv579
2,24,B024,11,load_p1ulv579
2,25,B025,18,load_p1ulv1841
2,26,B026,18,load_p1ulv1841
2,27,B027,0,load_p1ulv2
2,28,B028,0,load_p1ulv2
2,29,B029,14,load_p1ulv647
2,30,B030,14,load_p1ulv647
2,31,B031,4,load_p1ulv157
2,32,B032,9,load_p1umv5
2,33,B033,9,load_p1umv5
2,34,B034,7,load_p1ulv493
2,35,B035,10,load_p1ulv530
2,36,B036,20,load_p1umv10
2,37,B037,13,load_p1ulv646
2,38,B038,13,load_p1ulv646
2,39,B039,24,load_p1ulv1912
2,40,B040,12,load_p1umv9
2,41,B041,19,load_p1ulv1845
2,42,B042,9,load_p1umv5
2,43,B043,9,load_p1umv5
2,44,B044,7,load_p1ulv493
2,45,B045,10,load_p1ulv530
2,46,B046,20,load_p1umv10
2,47,B047,13,load_p1ulv646
2,48,B048,13,load_p1ulv646
2,49,B049,24,load_p1ulv1912
3,0,B000,18,load_p1ulv1841
3,1,B001,3,load_p1ulv156
3,2,B002,20,load_p1umv10
3,3,B003,21,load_p1ulv1893
3,4,B004,8,load_p1umv3
3,5,B005,14,load_p1ulv647
3,6,B006,14,load_p1ulv647
3,7,B007,11,load_p1ulv579
3,8,B008,11,load_p1ulv579
3,9,B009,13,load_p1ulv646
3,10,B010,24,load_p1ulv1912
3,11,B011,18,load_p1ulv1841
3,12,B012,18,load_p1ulv1841
3,13,B013,18,load_p1ulv1841
3,14,B014,18,load_p1ulv1841
3,15,B015,18,load_p1ulv1841
3,16,B016,18,load_p1ulv1841
3,17,B017,18,load_p1ulv1841
3,18,B018,18,load_p1ulv1841
3,19,B019,19,load_p1ulv1845
3,20,B020,24,load_p1ulv1912
3,21,B021,24,load_p1ulv1912
3,22,B022,7,load_p1ulv493
3,23,B023,4,load_p1ulv157
3,24,B024,4,load_p1ulv157
3,25,B025,9,load_p1umv5
