row_type,condition,comparator,group,n_pairs,cost_mean,mean_control_action_fraction,executed_to_requested_restoration,service_continuity_mean,cost_difference,cost_bootstrap_ci95_low,cost_bootstrap_ci95_high,relative_cost_reduction_percent,paired_t_p,wilcoxon_p
summary,backup_300s,,cascade,256,1117.1709821712575,0.9694671517936513,0.7725688589094997,0.7220916989851609,,,,,,
summary,backup_300s,,nominal,256,605.9050600880526,0.9946051239967346,0.9246708396287503,0.8711450624378163,,,,,,
summary,backup_300s,,ood,256,1787.2503018183634,0.920251639947916,0.7139895242252292,0.5340230588422239,,,,,,
summary,backup_300s,,single_domain,256,707.4890459775896,0.9912064969539642,0.812580834803057,0.8409080413249441,,,,,,
summary,backup_60s,,cascade,256,1276.5301561853848,0.9229515234474093,0.7267003934794829,0.680301439742296,,,,,,
summary,backup_60s,,nominal,256,606.8814939816994,0.9930416345596312,0.9233757824303906,0.8711146497158166,,,,,,
summary,backup_60s,,ood,256,2052.3618677332997,0.8511856802118323,0.6583369707551288,0.49970721308896926,,,,,,
summary,backup_60s,,single_domain,256,712.5407911358332,0.9855460524947072,0.7998824221046443,0.8386661098569022,,,,,,
summary,no_backup,,cascade,256,1496.7861293330789,0.8509802502812818,0.6765598650927487,0.6316861347582747,,,,,,
summary,no_backup,,nominal,256,607.7192932380815,0.9932088255882264,0.9220807252320311,0.870402259895136,,,,,,
summary,no_backup,,ood,256,2373.2141836583614,0.7497009427364294,0.5979921431689219,0.45773880139256073,,,,,,
summary,no_backup,,single_domain,256,718.2951146722038,0.9808933798534176,0.7856554967666078,0.8332644727613028,,,,,,
paired_comparison,backup_60s,no_backup,all,1024,1162.0785772590543,0.938181222678395,0.7557777991473539,0.7224473531009961,-136.9251029663771,-147.27158294949854,-126.7852360810683,10.54077867913468,5.397131822356962e-119,6.6952453904633445e-140
paired_comparison,backup_60s,no_backup,nominal,256,606.8814939816994,0.9930416345596312,0.9233757824303906,0.8711146497158166,-0.8377992563820222,-1.0699666727876895,-0.6163245050900122,0.13785957854291853,4.306043115475864e-12,1.955789149722229e-11
paired_comparison,backup_60s,no_backup,single_domain,256,712.5407911358332,0.9855460524947072,0.7998824221046443,0.8386661098569022,-5.754323536370667,-7.69859881826523,-3.6808538634304413,0.8011085442223383,4.53248083864672e-08,1.9036423258136808e-25
paired_comparison,backup_60s,no_backup,cascade,256,1276.5301561853848,0.9229515234474093,0.7267003934794829,0.680301439742296,-220.25597314769402,-232.03830471346154,-208.4287846132415,14.71526017186124,5.306636923148147e-103,9.640418513895798e-44
paired_comparison,backup_60s,no_backup,ood,256,2052.3618677332997,0.8511856802118323,0.6583369707551288,0.49970721308896926,-320.8523159250617,-339.0767525989562,-302.9156417120248,13.519736993584829,1.1224166303075927e-97,9.640418513895798e-44
paired_comparison,backup_300s,no_backup,all,1024,1054.4538475138156,0.9688826031730665,0.7888579030034939,0.7420419653975363,-244.54983271161566,-261.1630474514796,-227.72701505181075,18.825953800929653,1.7376411493100918e-134,9.950901509233216e-162
paired_comparison,backup_300s,no_backup,nominal,256,605.9050600880526,0.9946051239967346,0.9246708396287503,0.8711450624378163,-1.8142331500289557,-2.0625521733096033,-1.5739750685071232,0.29853143880989275,4.179028396054376e-35,2.2056327870272734e-37
paired_comparison,backup_300s,no_backup,single_domain,256,707.4890459775896,0.9912064969539642,0.812580834803057,0.8409080413249441,-10.806068694614172,-12.975053948889336,-8.80786525543711,1.5044051496223187,2.3381831319419677e-20,5.2801891209151656e-39
paired_comparison,backup_300s,no_backup,cascade,256,1117.1709821712575,0.9694671517936513,0.7725688589094997,0.7220916989851609,-379.61514716182137,-395.73628974816677,-364.04842269589426,25.36201663834004,2.8961982566966247e-128,9.640418513895798e-44
paired_comparison,backup_300s,no_backup,ood,256,1787.2503018183634,0.920251639947916,0.7139895242252292,0.5340230588422239,-585.9638818399981,-606.7704801673535,-565.3065990190255,24.690728964746114,6.814598416737449e-144,9.640418513895798e-44
