traffic_multiplier,power_threat,backup_duration_s,metric,mean,sd,ci95_low,ci95_high,n
0.5,0.0,0.0,control_on_time_fraction,0.999277108433735,0.016164346825299686,0.9978602409638554,1.0006939759036144,500
0.5,0.0,0.0,control_delivery_fraction,1.0,0.0,1.0,1.0,500
0.5,0.0,0.0,control_latency_p95_ms,105.96402002074284,49.85312878648643,101.59420061432354,110.33383942716213,500
0.5,0.0,0.0,attempt_drop_fraction,0.0,0.0,0.0,0.0,500
0.5,0.0,0.0,algebraic_support,1.0,0.0,1.0,1.0,500
0.5,0.0,60.0,control_on_time_fraction,0.999435582822086,0.01262075177484544,0.9983293251533744,1.0005418404907978,500
0.5,0.0,60.0,control_delivery_fraction,1.0,0.0,1.0,1.0,500
0.5,0.0,60.0,control_latency_p95_ms,105.84290062614585,54.07012727993478,101.10344500426585,110.58235624802585,500
0.5,0.0,60.0,attempt_drop_fraction,0.0,0.0,0.0,0.0,500
0.5,0.0,60.0,algebraic_support,1.0,0.0,1.0,1.0,500
0.5,0.0,300.0,control_on_time_fraction,0.9990666666666667,0.02086996778999804,0.9972373333333333,1.000896,500
0.5,0.0,300.0,control_delivery_fraction,1.0,0.0,1.0,1.0,500
0.5,0.0,300.0,control_latency_p95_ms,105.86260881667785,58.986610973797404,100.6922043982078,111.03301323514789,500
0.5,0.0,300.0,attempt_drop_fraction,0.0,0.0,0.0,0.0,500
0.5,0.0,300.0,algebraic_support,1.0,0.0,1.0,1.0,500
0.5,0.4494256856758202,0.0,control_on_time_fraction,0.9977416666666667,0.00909997772915966,0.9952192815299801,1.0002640518033534,50
0.5,0.4494256856758202,0.0,control_delivery_fraction,1.0,0.0,1.0,1.0,50
0.5,0.4494256856758202,0.0,control_latency_p95_ms,220.24948854144614,66.98869365504979,201.68116999929106,238.81780708360122,50
0.5,0.4494256856758202,0.0,attempt_drop_fraction,0.0,0.0,0.0,0.0,50
0.5,0.4494256856758202,0.0,algebraic_support,1.0,0.0,1.0,1.0,50
0.5,0.4494256856758202,60.0,control_on_time_fraction,0.9987487781036168,0.006195091144548133,0.9970315864479324,1.0004659697593012,50
0.5,0.4494256856758202,60.0,control_delivery_fraction,1.0,0.0,1.0,1.0,50
0.5,0.4494256856758202,60.0,control_latency_p95_ms,175.1369573978317,52.74354957818033,160.51719134216427,189.75672345349915,50
0.5,0.4494256856758202,60.0,attempt_drop_fraction,0.0,0.0,0.0,0.0,50
0.5,0.4494256856758202,60.0,algebraic_support,1.0,0.0,1.0,1.0,50
0.5,0.4494256856758202,300.0,control_on_time_fraction,1.0,0.0,1.0,1.0,50
0.5,0.4494256856758202,300.0,control_delivery_fraction,1.0,0.0,1.0,1.0,50
0.5,0.4494256856758202,300.0,control_latency_p95_ms,133.65746040214967,37.748253751784155,123.19417828946152,144.12074251483781,50
0.5,0.4494256856758202,300.0,attempt_drop_fraction,0.0,0.0,0.0,0.0,50
0.5,0.4494256856758202,300.0,algebraic_support,1.0,0.0,1.0,1.0,50
0.5,0.46412724129324684,0.0,control_on_time_fraction,0.9950245672907649,0.012737156344503966,0.991494007678066,0.9985551269034639,50
0.5,0.46412724129324684,0.0,control_delivery_fraction,1.0,0.0,1.0,1.0,50
0.5,0.46412724129324684,0.0,control_latency_p95_ms,234.4086785394017,67.8429448213556,215.60357365457435,253.21378342422906,50
0.5,0.46412724129324684,0.0,attempt_drop_fraction,0.0,0.0,0.0,0.0,50
0.5,0.46412724129324684,0.0,algebraic_support,1.0,0.0,1.0,1.0,50
0.5,0.46412724129324684,60.0,control_on_time_fraction,0.9953315348097956,0.013160383204006724,0.9916836626968215,0.9989794069227698,50
0.5,0.46412724129324684,60.0,control_delivery_fraction,1.0,0.0,1.0,1.0,50
0.5,0.46412724129324684,60.0,control_latency_p95_ms,199.2419617183273,63.25634779049754,181.70819666783115,216.77572676882346,50
0.5,0.46412724129324684,60.0,attempt_drop_fraction,0.0,0.0,0.0,0.0,50
0.5,0.46412724129324684,60.0,algebraic_support,1.0,0.0,1.0,1.0,50
0.5,0.46412724129324684,300.0,control_on_time_fraction,1.0,0.0,1.0,1.0,50
0.5,0.46412724129324684,300.0,control_delivery_fraction,1.0,0.0,1.0,1.0,50
0.5,0.46412724129324684,300.0,control_latency_p95_ms,132.58154924095405,40.78566116158408,121.27634074860114,143.88675773330695,50
0.5,0.46412724129324684,300.0,attempt_drop_fraction,0.0,0.0,0.0,0.0,50
0.5,0.46412724129324684,300.0,algebraic_support,1.0,0.0,1.0,1.0,50
0.5,0.4717503709822307,0.0,control_on_time_fraction,0.9979616036137776,0.008420874580803117,0.9956274562660915,1.0002957509614636,50
0.5,0.4717503709822307,0.0,control_delivery_fraction,1.0,0.0,1.0,1.0,50
0.5,0.4717503709822307,0.0,control_latency_p95_ms,232.36868491404041,67.4334702294596,213.67708059538913,251.0602892326917,50
0.5,0.4717503709822307,0.0,attempt_drop_fraction,0.0,0.0,0.0,0.0,50
0.5,0.4717503709822307,0.0,algebraic_support,1.0,0.0,1.0,1.0,50
0.5,0.4717503709822307,60.0,control_on_time_fraction,0.9992857142857143,0.005050762722761052,0.9978857142857144,1.0006857142857144,50
0.5,0.4717503709822307,60.0,control_delivery_fraction,1.0,0.0,1.0,1.0,50
0.5,0.4717503709822307,60.0,control_latency_p95_ms,194.05435728107025,68.48439938149107,175.0714502634793,213.0372642986612,50
0.5,0.4717503709822307,60.0,attempt_drop_fraction,0.0,0.0,0.0,0.0,50
0.5,0.4717503709822307,60.0,algebraic_support,1.0,0.0,1.0,1.0,50
0.5,0.4717503709822307,300.0,control_on_time_fraction,1.0,0.0,1.0,1.0,50
