policy,group,n,cost_mean,cost_ci95,mobility_delay_mean,mobility_delay_ci95,unserved_energy_mean,unserved_energy_ci95,comm_loss_mean,comm_loss_ci95,feeder_margin_exceedance_mean,feeder_margin_exceedance_ci95,power_service_loss_mean,power_service_loss_ci95,peak_risk_mean,peak_risk_ci95,service_continuity_mean,service_continuity_ci95,min_voltage_pu_mean,min_voltage_pu_ci95,voltage_violation_pu_hours_mean,voltage_violation_pu_hours_ci95,voltage_violating_bus_hours_mean,voltage_violating_bus_hours_ci95,thermal_overload_pu_hours_mean,thermal_overload_pu_hours_ci95,thermal_overloaded_branch_hours_mean,thermal_overloaded_branch_hours_ci95,losses_mwh_mean,losses_mwh_ci95,latency_ms_mean,latency_ms_ci95,mean_control_action_fraction_mean,mean_control_action_fraction_ci95,requested_restoration_mean,requested_restoration_ci95,executed_restoration_mean,executed_restoration_ci95,requested_charge_capacity_mean,requested_charge_capacity_ci95,executed_charge_capacity_mean,executed_charge_capacity_ci95,mean_smartds_projection_fraction_mean,mean_smartds_projection_fraction_ci95,smartds_curtailed_energy_kwh_mean,smartds_curtailed_energy_kwh_ci95,smartds_raw_infeasible_hours_mean,smartds_raw_infeasible_hours_ci95,smartds_projected_infeasible_hours_mean,smartds_projected_infeasible_hours_ci95,crew_job_count_mean,crew_job_count_ci95,crew_jobs_dispatched_mean,crew_jobs_dispatched_ci95,crew_jobs_completed_mean,crew_jobs_completed_ci95,crew_completion_fraction_mean,crew_completion_fraction_ci95,crew_mean_completion_h_mean,crew_mean_completion_h_ci95,crew_total_travel_h_mean,crew_total_travel_h_ci95
forecast_matched,cascade,4,861.9151344001293,855.7184560899486,3.409541942179203,4.663479610422974,229.40048205852509,280.8277128905473,68.08506143093109,37.22602494685647,0.0,0.0,29.10242183203809,30.954796079778138,59.96344757080078,35.54524364811466,0.5755854989801135,0.3900444445759236,0.9891393915763602,0.00014885488205251086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8421553239342432,0.001829808757558606,38.14807080198079,0.26760995369784585,0.9867103695869446,0.004685831282208296,34.75,2.45,27.75,1.2331396244275556,176.60250329971313,3.1922695638785063e-06,168.7478985786438,5.7281163215962625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.75,2.45,33.5,2.4662792488551113,27.75,1.2331396244275556,0.7999551971326165,0.02838590266592304,3.3742905773420477,0.31921855218833073,3.970833333333333,1.069251325997844
forecast_matched,nominal,4,752.2497494104808,704.7337261938904,1.2833048328757286,1.3333598821225112,285.3058200478554,266.7679613146045,4.740252777934074,5.54685951279395,0.0,0.0,0.0009321885907322969,0.00168601764918007,33.594565629959106,22.184698576548026,0.6924950461781603,0.4536270614388577,0.9887202823271419,0.00016141856161096214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8444296041280615,0.0012102352159118945,37.69683333424231,0.32036021720888896,1.0,0.0,16.75,6.900712523597352,16.25,6.06096526965796,176.60249996185303,1.0791840816609063e-06,176.60249996185303,1.0791840816609063e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.75,6.900712523597352,16.75,6.900712523597352,16.25,6.06096526965796,0.9807692307692308,0.037692307692307664,1.8279881012233954,0.33648233351343,1.65,0.5869404033094305
forecast_matched,ood,4,1351.5388193130493,494.26530459114394,12.10004146862775,9.108901423085294,251.29239201545715,125.53566176927772,185.56687381863594,56.66407560926017,0.0,0.0,50.12738224491477,29.88289111988111,80.16158294677734,27.51412553902823,0.6296764285791489,0.1643228532535658,0.9890561161239118,0.00023110592849543606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8417294098945525,0.0009332695069892442,38.258362580866866,0.09672166391201875,0.9689674253265064,0.00910096173577077,36.0,0.0,27.75,1.2331396244275556,176.60250282287598,1.5261967645820074e-06,161.95483493804932,6.29613632177315,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,32.25,0.9382785656012114,27.75,1.2331396244275556,0.7708333333333334,0.03425387845632101,3.2733966428396872,0.45683652592269997,3.075,0.6498532312932068
forecast_matched,single_domain,4,406.3705130618182,584.2444575060698,0.569736417535982,0.4936614889645291,153.65124183893204,221.54510783622382,2.477213203907013,3.1910184367719348,0.0,0.0,0.9299955169828564,1.4947398132587644,32.38435888290405,22.617012208769633,0.9672988389144864,0.024765888644477225,0.9890945136472262,0.0002967238899273608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.841985679971347,0.002138008001574893,38.343425025232136,0.25269054668312635,0.9996760338544846,0.0006349736452102661,34.0,2.263213055223333,27.0,1.96,176.60249853134155,1.789624339296744e-06,176.5330662727356,0.13608566920247836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2.263213055223333,33.75,2.577356526883052,27.0,1.96,0.7951388888888888,0.048601387916472186,3.6594230697431307,0.26853959334768907,3.2666666666666666,0.8662314719305476
greedy,cascade,4,843.046453744173,801.2080619776301,3.5158124193549156,4.86095457904022,228.3522771000862,277.77819177644807,64.91121089458466,28.46873243696095,0.0,0.0,20.946742743020877,15.841310836768157,55.685150146484375,27.313273602493197,0.5736340139593397,0.3883036982553023,0.989127842790465,0.00016842981867778975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8422153168181884,0.001948453669845967,0.6353250161434213,0.014029413907968318,0.9865077013770739,0.00524150985224894,34.75,2.45,28.0,0.8001666493091715,176.60250043869019,1.789624339296744e-06,168.53782558441162,5.870199964368913,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.75,2.45,33.5,2.4662792488551113,28.0,0.8001666493091715,0.8080197132616488,0.043081657940080266,3.3202764161220046,0.3697314569942394,3.9291666666666667,1.176935391882947
greedy,nominal,4,752.2497494104808,704.7337261938904,1.2833048328757286,1.3333598821225112,285.3058200478554,266.7679613146045,4.740252777934074,5.54685951279395,0.0,0.0,0.0009321885907322969,0.00168601764918007,33.594565629959106,22.184698576548026,0.6924950461781603,0.4536270614388577,0.9887202681518081,0.00016143826696265982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8444286951212475,0.0012095832406952042,0.5187583349955579,0.03503655041192673,1.0,0.0,16.75,6.900712523597352,16.25,6.06096526965796,176.60249996185303,1.0791840816609063e-06,176.60249996185303,1.0791840816609063e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.75,6.900712523597352,16.75,6.900712523597352,16.25,6.06096526965796,0.9807692307692308,0.037692307692307664,1.8279881012233954,0.33648233351343,1.65,0.5869404033094305
greedy,ood,4,1385.9975214004517,532.2216749971335,13.369277186691761,10.229221491482363,253.41466212272644,128.92230778789937,192.71397951245308,58.055898009918515,0.0,0.0,55.84940326074138,42.25128425611808,80.16158294677734,27.51412553902823,0.6157674729114487,0.1357183794391183,0.9890940821978986,0.00020966359190466522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8416146129254856,0.0007525998958810589,0.6059083389118314,0.005047473222708413,0.968504232664903,0.008869720520329393,36.0,0.0,27.75,1.2331396244275556,176.60250282287598,1.5261967645820074e-06,161.3115587234497,5.773187913164186,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,32.25,0.9382785656012114,27.75,1.2331396244275556,0.7708333333333334,0.03425387845632101,3.2337623971570544,0.3924239568604775,3.1041666666666665,0.5404622421457259
greedy,single_domain,4,406.3705130618182,584.2444575060698,0.569736417535982,0.4936614889645291,153.65124183893204,221.54510783622382,2.477213203907013,3.1910184367719348,0.0,0.0,0.9299955169828564,1.4947398132587644,32.38435888290405,22.617012208769633,0.9672988389144864,0.024765888644477225,0.9890945136472279,0.0002967238899241981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8419849777752595,0.002137724235588576,0.6159500723394256,0.014833314072768862,0.9996760338544846,0.0006349736452102661,34.0,2.263213055223333,27.0,1.96,176.60249853134155,1.789624339296744e-06,176.5330662727356,0.13608566920247836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2.263213055223333,33.75,2.577356526883052,27.0,1.96,0.7951388888888888,0.048601387916472186,3.6594230697431307,0.26853959334768907,3.2666666666666666,0.8662314719305476
oracle,cascade,4,767.1899727135897,778.7583974516799,2.6777810528874397,3.710151708865974,198.18912690877914,265.41354185121867,66.01953661441803,27.86388655706109,0.0,0.0,15.762339423410594,13.659706156932556,49.11831092834473,29.68127169720818,0.6375650980642864,0.43825418734467464,0.9891269713846378,0.00014160036638175688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8434761003040572,0.00273049666510474,5.913466661392401,0.04867845609061648,0.9856924662987392,0.006954358045881303,34.75,2.45,28.0,1.600333298618343,176.6025013923645,5.147380005207424e-06,166.36463975906372,7.950137509002222,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.75,2.45,33.5,2.4662792488551113,28.0,1.600333298618343,0.806899641577061,0.03302461547836178,3.4460539215686277,0.26866451667077595,3.85,0.7050503002807148
oracle,nominal,4,643.4103787295838,667.4221703481992,0.037684895816076036,0.07385895828245774,247.386637955904,256.6248615981557,0.059092216193675995,0.07077321870655615,0.0,0.0,0.00017265440402802756,0.00021754593131642391,27.58991862462929,22.82558936494269,0.7493021209695061,0.48954575072345186,0.9885523111567209,0.00027746791852787333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8460912466076325,0.0020070760118355456,5.787912484568854,0.0758954294836109,1.0,0.0,16.75,6.900712523597352,16.25,6.06096526965796,176.60250329971313,4.673004150390625e-06,176.60250329971313,4.673004150390625e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.75,6.900712523597352,16.75,6.900712523597352,16.25,6.06096526965796,0.9807692307692308,0.037692307692307664,2.0327461454667337,0.5330054098819446,1.7458333333333331,0.7260988798595776
