condition,policy,comparator,group,metric,direction,n_pairs,policy_mean,comparator_mean,mean_difference_pc_minus_comparator,mean_difference_policy_minus_comparator,mean_difference_bootstrap_ci95_low,mean_difference_bootstrap_ci95_high,relative_reduction_percent,paired_cohens_dz,paired_t_p,wilcoxon_p,primary_family,holm_p_primary_paired_t,holm_p_primary_wilcoxon
matrix_scale_075,robust_pc_rollout,forecast_matched,all,cost,lower,1024,1005.1619240106398,1010.9764077262482,-5.814483715608362,-5.814483715608362,-7.210268505947237,-4.458328765637663,0.5751354503598669,-0.25706899730541016,5.827550655578081e-16,3.931814572554012e-27,True,2.9137753277890405e-15,1.965907286277006e-26
matrix_scale_075,robust_pc_rollout,forecast_matched,cascade,cost,lower,256,1066.3170513738878,1072.5286114454502,-6.211560071562417,-6.211560071562417,-8.4434611033299,-4.212436693767086,0.5791509900319655,-0.36144128704495015,2.1386329937972905e-08,6.558722224473869e-09,True,6.415898981391872e-08,1.9676166673421607e-08
matrix_scale_075,robust_pc_rollout,forecast_matched,ood,cost,lower,256,1648.2129354327917,1664.8330234708264,-16.620088038034737,-16.620088038034737,-21.52038840611931,-11.768133610021323,0.9983036018462291,-0.41973555667661494,1.2102433377798953e-10,5.158658501842895e-12,True,4.840973351119581e-10,2.063463400737158e-11
matrix_scale_125,robust_pc_rollout,forecast_matched,all,cost,lower,1024,1013.1077622429037,1010.9764077262482,2.131354516655561,2.131354516655561,0.059430401714372555,4.180120930470629,-0.21082139013007398,0.06348406384957486,0.04246338952327705,0.06566084239020062,True,0.12739016856983115,0.13132168478040124
matrix_scale_125,robust_pc_rollout,forecast_matched,cascade,cost,lower,256,1070.1785965950694,1072.5286114454502,-2.3500148503808305,-2.3500148503808305,-5.221057286541327,0.4488793287455331,0.21910975849993483,-0.10129745991175755,0.10630513257983105,0.10637276332325458,True,0.2126102651596621,0.13132168478040124
matrix_scale_125,robust_pc_rollout,forecast_matched,ood,cost,lower,256,1676.3414802597836,1664.8330234708264,11.508456788957119,11.508456788957119,3.941667928453535,19.293188289646057,-0.6912679305798733,0.18542240233780366,0.003295371864566822,0.01670057375582018,True,0.013181487458267287,0.05010172126746054
matrix_noise_015,robust_pc_rollout,forecast_matched,all,cost,lower,1024,1006.4971534306713,1010.9764077262482,-4.4792542955769425,-4.4792542955769425,-6.051773602277483,-2.9348127506407566,0.4430621982219226,-0.17461732003466487,2.9486736207681014e-08,6.0962875556118754e-18,True,1.1794694483072406e-07,3.048143777805938e-17
matrix_noise_015,robust_pc_rollout,forecast_matched,cascade,cost,lower,256,1065.6306992287282,1072.5286114454502,-6.897912216722034,-6.897912216722034,-9.160800689517055,-4.7721677672991065,0.6431448208571048,-0.38293661781134636,3.3770830994519877e-09,1.95347658159534e-09,True,1.6885415497259938e-08,7.81390632638136e-09
matrix_noise_015,robust_pc_rollout,forecast_matched,ood,cost,lower,256,1654.3532410878688,1664.8330234708264,-10.479782382957637,-10.479782382957637,-16.261533610825428,-4.784822750696913,0.6294794874449028,-0.22204510797214083,0.00045408507966480276,6.141467756068115e-05,True,0.0013622552389944082,0.0001228293551213623
integer_crews_12,robust_pc_rollout,forecast_matched,all,cost,lower,1024,939.3830629330481,939.3484101051858,0.034652827862248305,0.034652827862248305,-0.18094635929444766,0.2888079936149181,-0.003689028212478474,0.008947177801742336,0.7746989069439718,9.010473753568851e-17,True,0.7746989069439718,4.505236876784425e-16
integer_crews_12,robust_pc_rollout,forecast_matched,cascade,cost,lower,256,1001.7105889712975,1002.1745886868703,-0.4639997155727542,-0.4639997155727542,-0.6691162304099407,-0.2592996764035434,0.04629928964580153,-0.2751232816415654,1.578685984337851e-05,3.4495809268461898e-06,True,6.314743937351404e-05,6.8991618536923795e-06
integer_crews_12,robust_pc_rollout,forecast_matched,ood,cost,lower,256,1457.455670861993,1456.7202130225487,0.7354578394442797,0.7354578394442797,-0.08457016735337673,1.7324294692836701,-0.05048724064302494,0.097972812014224,0.11822274171938427,0.31775694831411494,True,0.23644548343876853,0.31775694831411494
integer_crews_24,robust_pc_rollout,forecast_matched,all,cost,lower,1024,934.7571464507894,935.272714631174,-0.5155681803846284,-0.5155681803846284,-0.6074306471024247,-0.43045765618006193,0.05512490339119359,-0.36025766025223277,5.382433018498529e-29,5.84064408580395e-71,True,2.6912165092492645e-28,2.920322042901975e-70
integer_crews_24,robust_pc_rollout,forecast_matched,cascade,cost,lower,256,996.7157346813574,997.3547373879148,-0.6390027065575001,-0.6390027065575001,-0.7704368971047189,-0.5164218732973547,0.06406975197521562,-0.6259104734747666,4.008733730720321e-20,4.7169369838750847e-26,True,1.6034934922881284e-19,1.4150810951625254e-25
integer_crews_24,robust_pc_rollout,forecast_matched,ood,cost,lower,256,1444.747168650385,1446.0614974023774,-1.3143287519924343,-1.3143287519924343,-1.624044056981802,-1.0288534705410712,0.09089023906337453,-0.535426397289955,1.0280532559963455e-15,1.1144334191163189e-26,True,3.0841597679890366e-15,4.4577336764652755e-26
